Sr. No,CityName,IsMetroCity,IsNewYearEve,HotelName,RoomRent,StarRating,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
1,Mumbai,1,0,Vivanta by Taj,12375,5,"90 Cuffe Parade, Colaba, Mumbai, Maharashtra",400005,"Luxury hotel with spa, near Gateway of India",1,0,287,1
2,Delhi,1,0,OYO Premium Near Mega Mall,4150,3,"F12/4, DLF Phase 1,,Gurgaon,,India",120001,3-star hotel in Gurgaon,1,0,5,0
3,Bangalore,0,0,Villa Pottipati,5850,4,"142, 8th Cross, 4th Main Road, Malleswaram,, Bengaluru",560003,"3.5-star hotel, convenient to ISKCON Temple",1,1,8,1
4,Chennai,1,0,Accord Metropolitan,4000,4,"35, GN Chetty Road, T Nagar, Chennai, Tamil Nadu",600017,"Luxury hotel in Chennai with 3 restaurants, spa",1,0,162,1
5,Hyderabad,0,0,Aditya Park-A Sarovar Portico Hotel,3440,3,"Ameerpet Aditya Enclave, Hyderabad, Andhra Pradesh, India",500082,"3-star hotel in Begumpet with 2 restaurants, bar/lounge",1,1,88,0
6,Ahmedabad,0,0,OYO Premium Shahibaug Airport Road,9792,3,"Shahibaug Under Bridge,,Ahmedabad,Gujarat,India",380004,3,1,1,10,0
7,Kolkata,1,0,662B THE GUEST HOUSE,3500,2,"66/2B, Purna Das Road,,Kolkata,West Bengal,India",700029,No-frills guesthouse in Ballygunge with restaurant,1,1,16,0
8,Surat,0,0,Best Western Yuvraj,2480,4,"Gulambaba Mill Compound, Opposite Railway Station, Surat",395003,City-center Surat hotel with restaurant,0,1,54,0
9,Pune,0,0,14 Square Amanora,1960,2,"Amanora Town, Tower No.6, Hadapsar, Pune, Maharashtra, India",411028,No-frills Pune apartment with kitchenette,1,1,3,0
10,Jaipur,0,0,OYO Rooms Raja Park,851,3,"189A, Panchwati Circle, Lane no.- 1, Raja Park",302004,Jaipur hotel next to shopping,1,1,8,0
11,Thrissur,0,0,36 PALMS BOUTIQUE RETREAT,4250,4,"1/485, Pallipuram - Munambam Rd, Cherai Beach, Vypin, Kerala, 683515, India",683515,Vypin beachfront resort with restaurant,1,1,10,0
12,Lucknow,0,0,Clarks Avadh,7200,4,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, 226 001 India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,1,98,1
13,Kanpur,0,0,OYO Rooms 80 Feet Road,2128,3,"111/453 80 Feet Road, Kanpur, 208012, India",208012,Kanpur hotel next to shopping,1,1,15,0
14,Amritsar,0,0,OYO Rooms Queens Road,3085,3,"Plot No. 3 Queen's Road,,Amritsar,,India",143001,Amritsar hotel next to shopping,1,1,15,0
15,Indore,0,0,Country Inn By Carlson-Indore,4000,3.5,"306-b Pu-4 Rasoma Circle, Agra-bombay Road, Indore, Madhya Pradesh, 452010, India",452010,"3.5-star hotel in Indore with 2 restaurants, bar/lounge",1,1,45,0
16,Agra,0,0,ADB Rooms The Light House Agra,2425,3,"Kanak Estate, Taj Nagari Phase- II, Fatehabad Road Agra - 282001 (U.P.), Agra, Uttar Pradesh, 282001 India",282001,"3-star hotel with 2 restaurants, near Taj Mahal",1,1,32,0
17,Madurai,0,0,OYO Rooms Madurai Periyar Bus Stand,5001,3,"Plot no-122,TPK Road,, Near Periyar Shopping Bus Terminal, Madura",625001,"3-star hotel in Madurai,Free continental breakfast, free WiFi, and free parking",1,1,22,0
